Timestamp,Jenis Beasiswa ,Tingkat Pendidikan yang Dituju,Negara Tujuan Kuliah,Bidang Studi yang dipilih saat mendaftar,Mendaftar dengan menggunakan LoA sesuai ketentuan LPDP ,Apakah anda dinyatakan Lulus Seleksi Substansi Akademik Pada gelombang I Tahun 2021?,Jumlah Jawaban Benar pada Tes Penalaran Verbal,Jumlah Jawaban Benar pada Tes Kuantitatif,Jumlah Jawaban Benar pada Tes Pemecahan Masalah,[optional] Kampus/universitas tujuan saat ini (pilihan 1)
6/24/2021 16:44:43,Reguler,S2,Luar Negeri,ECO,Tidak,Tidak,12,16,7,Columbia University
6/24/2021 16:45:00,Reguler,S2,Luar Negeri,EDU,Tidak,Tidak,13,10,10,UCL
6/24/2021 16:45:26,Afirmasi,S2,Dalam negeri,Bio,Tidak,Ya,15,17,6,Unsoed
6/24/2021 16:46:08,Reguler,S3,Luar Negeri,BIO,"Ya, dengan Loa",Ya,17,16,5,University of Bristol
6/24/2021 16:46:44,Targeted,S2,Dalam negeri,Bus,Tidak,Ya,12,18,7,
6/24/2021 16:47:21,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,17,15,6,UGM
6/24/2021 16:48:22,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,11,11,8,ITB
6/24/2021 16:48:35,Afirmasi,S2,Dalam negeri,TEK,Tidak,Ya,12,18,4,UGM
6/24/2021 16:49:15,Reguler,S2,Luar Negeri,FOO,"Ya, dengan Loa",Ya,18,19,10,
6/24/2021 16:50:02,Reguler,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,16,24,10,ITB
6/24/2021 16:50:14,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,18,13,5,UNESA
6/24/2021 16:50:36,Targeted,S3,Luar Negeri,ENV,"Ya, dengan Loa",Ya,16,17,8,WUR
6/24/2021 16:50:58,Reguler,S2,Dalam negeri,Bus,Tidak,Tidak,12,9,7,
6/24/2021 16:51:03,Reguler,S2,Luar Negeri,BUS,Tidak,Ya,20,23,10,Stanford University
6/24/2021 16:52:36,Reguler,S3,Dalam negeri,TRP,Tidak,Ya,14,12,9,ITB
6/24/2021 16:53:17,Reguler,S2,Luar Negeri,Tra,Tidak,Ya,18,20,4,Kth
6/24/2021 16:53:20,Reguler,S3,Luar Negeri,ELE,"Ya, dengan Loa",Tidak,11,17,5,NTU Singapore
6/24/2021 16:54:01,Reguler,S2,Luar Negeri,ICT,Tidak,Ya,15,22,6,
6/24/2021 16:54:27,Reguler,S2,Luar Negeri,BUS,Tidak,Ya,17,19,6,
6/24/2021 16:55:32,Reguler,S3,Dalam negeri,FOR,"Ya, dengan Loa",Ya,14,22,6,ITB
6/24/2021 16:56:31,Reguler,S2,Luar Negeri,ARC,"Ya, dengan Loa",Ya,16,16,6,TU Delft
6/24/2021 16:56:32,Reguler,S2,Luar Negeri,ART,"Ya, dengan Loa",Ya,12,14,9,UAL
6/24/2021 16:56:35,Reguler,S2,Luar Negeri,HOS,"Ya, dengan Loa",Ya,17,17,9,Bournemouth University
6/24/2021 16:57:13,Reguler,S2,Luar Negeri,ENT,Tidak,Tidak,16,11,6,University of Edinburgh
6/24/2021 16:57:50,Afirmasi,S2,Dalam negeri,FOR,Tidak,Ya,16,22,8,
